DATE,CUSR0000SEHA
1981-01-01,84.700
1981-02-01,85.200
1981-03-01,85.900
1981-04-01,86.500
1981-05-01,87.100
1981-06-01,87.600
1981-07-01,87.900
1981-08-01,88.800
1981-09-01,89.500
1981-10-01,90.000
1981-11-01,90.600
1981-12-01,91.300
1982-01-01,91.900
1982-02-01,92.300
1982-03-01,92.900
1982-04-01,93.200
1982-05-01,93.800
1982-06-01,94.300
1982-07-01,95.000
1982-08-01,95.500
1982-09-01,95.700
1982-10-01,96.500
1982-11-01,97.000
1982-12-01,97.400
1983-01-01,98.000
1983-02-01,98.500
1983-03-01,98.800
1983-04-01,99.300
1983-05-01,99.500
1983-06-01,99.900
1983-07-01,100.200
1983-08-01,100.600
1983-09-01,101.100
1983-10-01,101.300
1983-11-01,101.700
1983-12-01,102.100
1984-01-01,102.500
1984-02-01,102.900
1984-03-01,103.500
1984-04-01,104.300
1984-05-01,104.600
1984-06-01,105.100
1984-07-01,105.600
1984-08-01,106.100
1984-09-01,106.500
1984-10-01,107.000
1984-11-01,107.400
1984-12-01,108.100
1985-01-01,108.500
1985-02-01,109.200
1985-03-01,109.700
1985-04-01,110.200
1985-05-01,111.000
1985-06-01,111.600
1985-07-01,112.000
1985-08-01,112.600
1985-09-01,113.000
1985-10-01,113.800
1985-11-01,114.600
1985-12-01,115.000
1986-01-01,115.400
1986-02-01,115.600
1986-03-01,116.400
1986-04-01,117.600
1986-05-01,117.800
1986-06-01,118.200
1986-07-01,118.900
1986-08-01,119.000
1986-09-01,119.400
1986-10-01,120.000
1986-11-01,120.400
1986-12-01,120.700
1987-01-01,121.200
1987-02-01,121.600
1987-03-01,122.000
1987-04-01,122.200
1987-05-01,122.500
1987-06-01,122.500
1987-07-01,123.000
1987-08-01,123.800
1987-09-01,124.200
1987-10-01,124.600
1987-11-01,124.600
1987-12-01,125.500
1988-01-01,125.900
1988-02-01,126.200
1988-03-01,126.600
1988-04-01,126.900
1988-05-01,127.200
1988-06-01,127.600
1988-07-01,127.900
1988-08-01,128.400
1988-09-01,128.900
1988-10-01,129.100
1988-11-01,129.500
1988-12-01,129.900
1989-01-01,130.400
1989-02-01,130.900
1989-03-01,131.200
1989-04-01,131.600
1989-05-01,132.000
1989-06-01,132.600
1989-07-01,133.000
1989-08-01,133.500
1989-09-01,133.700
1989-10-01,134.400
1989-11-01,135.000
1989-12-01,135.300
1990-01-01,135.800
1990-02-01,136.100
1990-03-01,136.700
1990-04-01,137.200
1990-05-01,137.600
1990-06-01,138.200
1990-07-01,138.700
1990-08-01,139.300
1990-09-01,139.700
1990-10-01,140.200
1990-11-01,140.500
1990-12-01,141.000
1991-01-01,141.200
1991-02-01,141.600
1991-03-01,142.100
