Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1948,60095,60524,60070,60677,59972,60957,61181,60806,60815,60646,60702,61169
1949,60771,61057,61073,61007,61259,60948,61301,61590,61633,62185,62005,61908
1950,61661,61687,61604,62158,62083,62419,62121,62596,62349,62428,62286,62068
1951,61941,61778,62526,61808,62044,61615,62106,61927,61780,62204,62014,62457
1952,62432,62419,61721,61720,62058,62103,61962,61877,62457,61971,62491,62621
1953,63439,63520,63657,63167,62615,63063,63057,62816,62727,62867,62949,62795
1954,63101,63994,63793,63934,63675,63343,63302,63707,64209,63936,63759,63312
1955,63910,63696,63882,64564,64381,64482,65145,65581,65628,65821,66037,66445
1956,66419,66124,66175,66264,66722,66702,66752,66673,66714,66546,66657,66700
1957,66428,66879,66913,66647,66695,67052,67336,66706,67064,67066,67123,67398
1958,67095,67201,67223,67647,67895,67674,67824,68037,68002,68045,67658,67740
1959,67936,67649,68068,68339,68178,68278,68539,68432,68545,68821,68533,68994
1960,68962,68949,68399,69579,69626,69934,69745,69841,70151,69884,70439,70395
1961,70447,70420,70703,70267,70452,70878,70536,70534,70217,70492,70376,70077
1962,70189,70409,70414,70278,70551,70514,70302,70981,71153,70917,70871,70854
1963,71146,71262,71423,71697,71832,71626,71956,71786,72131,72281,72418,72188
1964,72356,72683,72713,73274,73395,73032,73007,73118,73290,73308,73286,73465
1965,73569,73857,73949,74228,74466,74412,74761,74616,74502,74838,74797,75093
1966,75186,74954,75075,75338,75447,75647,75736,76046,76056,76199,76610,76641
1967,76639,76521,76328,76777,76773,77270,77464,77712,77812,78194,78191,78491
1968,77578,78230,78256,78270,78847,79120,78970,78811,78858,78913,79209,79463
1969,79523,80019,80079,80281,80125,80696,80827,81106,81290,81494,81397,81624
1970,81981,82151,82498,82727,82483,82484,82901,82880,82954,83276,83548,83670
1971,83850,83603,83575,83946,84135,83706,84340,84673,84731,84872,85458,85625
1972,85978,86036,86611,86614,86809,87006,87143,87517,87392,87491,87592,87943
1973,87487,88364,88846,89018,88977,89548,89604,89509,89838,90131,90716,90890
1974,91199,91485,91453,91287,91596,91868,92212,92059,92488,92518,92766,92780
1975,93128,92776,93165,93399,93884,93575,94021,94162,94202,94267,94250,94409
1976,94934,94998,95215,95746,95847,95885,96583,96741,96553,96704,97254,97348
1977,97208,97785,98115,98330,98665,99093,98913,99366,99453,99815,100576,100491
1978,100873,100837,101092,101574,101896,102371,102399,102511,102795,103080,103562,103809
1979,104057,104502,104589,104172,104171,104638,105002,105096,105530,105700,105812,106258
1980,106562,106697,106442,106591,106929,106780,107159,107105,107098,107405,107568,107352
1981,108026,108242,108553,108925,109222,108396,108556,108725,108294,109024,109236,108912
1982,109089,109467,109567,109820,110451,110081,110342,110514,110721,110744,111050,111083
1983,110695,110634,110587,110828,110796,111879,111756,112231,112298,111926,112228,112327
1984,112209,112615,112713,113098,113649,113817,113972,113682,113857,114019,114170,114581
1985,114725,114876,115328,115331,115234,114965,115320,115291,115905,116145,116135,116354
1986,116682,116882,117220,117316,117528,118084,118129,118150,118395,118516,118634,118611
1987,118845,119122,119270,119336,120008,119644,119902,120318,120011,120509,120540,120729
1988,120969,121156,120913,121251,121071,121473,121665,122125,121960,122206,122637,122622
1989,123390,123135,123227,123565,123474,123995,123967,124166,123944,124211,124637,124497
1990,125833,125710,125801,125649,125893,125573,125732,125990,125892,125995,126070,126142
1991,125955,126020,126238,126548,126176,126331,126154,126150,126650,126642,126701,126664
1992,127261,127207,127604,127841,128119,128459,128563,128613,128501,128026,128441,128554
1993,128400,128458,128598,128584,129264,129411,129397,129619,129268,129573,129711,129941
1994,130596,130669,130400,130621,130779,130561,130652,131275,131421,131744,131891,131951
1995,132038,132115,132108,132590,131851,131949,132343,132336,132611,132716,132614,132511
1996,132616,132952,133180,133409,133667,133697,134284,134054,134515,134921,135007,135113
1997,135456,135400,135891,136016,136119,136211,136477,136618,136675,136633,136961,137155
1998,137095,137112,137236,137150,137372,137455,137588,137570,138286,138279,138381,138634
1999,139003,138967,138730,138959,139107,139329,139439,139430,139622,139771,140025,140177
2000,142267,142456,142434,142751,142388,142591,142278,142514,142518,142622,142962,143248
