,DATE,Series ID,Year,Period,Label,Value,Next Month Value,CPIAUCSL,CUUR0000SEHA,EXPGS,IMPGS,FEDFUNDS,GDI,GDP,LFWA64TTUSM647S,GASREGW,DSPI,SP500,LFP,EPR,EL,ClF,AWU,INDPRO,BOGZ1FA895050005Q,HLTHSCPCHCSA,UEL
0,1948-01-01,LNS14000000,1948,M01,1948 Jan,3.4,3.8,23.68,27.0,16.917,9.624,0.0,265.07,265.742,0.0,0.0,0.0,0.0,58.6,56.6,58061.0,60095.0,8.9,14.3274,0.0,0.0,2034.0
1,1948-02-01,LNS14000000,1948,M02,1948 Feb,3.8,4.0,23.67,27.1,16.917,9.624,0.0,265.07,265.742,0.0,0.0,0.0,0.0,58.9,56.7,58196.0,60524.0,8.4,14.3543,0.0,0.0,2328.0
2,1948-03-01,LNS14000000,1948,M03,1948 Mar,4.0,3.9,23.5,27.1,16.917,9.624,0.0,265.07,265.742,0.0,0.0,0.0,0.0,58.5,56.1,57671.0,60070.0,8.7,14.1931,0.0,0.0,2399.0
3,1948-04-01,LNS14000000,1948,M04,1948 Apr,3.9,3.5,23.82,27.2,15.241,10.036,0.0,273.654,272.567,0.0,0.0,0.0,0.0,59.0,56.7,58291.0,60677.0,8.5,14.2199,0.0,0.0,2386.0
4,1948-05-01,LNS14000000,1948,M05,1948 May,3.5,3.6,24.01,27.3,15.241,10.036,0.0,273.654,272.567,0.0,0.0,0.0,0.0,58.3,56.2,57854.0,59972.0,9.1,14.4618,0.0,0.0,2118.0
5,1948-06-01,LNS14000000,1948,M06,1948 Jun,3.6,3.6,24.15,27.4,15.241,10.036,0.0,273.654,272.567,0.0,0.0,0.0,0.0,59.2,57.0,58743.0,60957.0,8.8,14.65,0.0,0.0,2214.0
6,1948-07-01,LNS14000000,1948,M07,1948 Jul,3.6,3.9,24.4,27.5,15.405,10.456,0.0,278.941,279.196,0.0,0.0,0.0,0.0,59.3,57.1,58968.0,61181.0,8.6,14.65,0.0,0.0,2213.0
7,1948-08-01,LNS14000000,1948,M08,1948 Aug,3.9,3.8,24.43,27.6,15.405,10.456,0.0,278.941,279.196,0.0,0.0,0.0,0.0,58.9,56.6,58456.0,60806.0,8.8,14.5962,0.0,0.0,2350.0
8,1948-09-01,LNS14000000,1948,M09,1948 Sep,3.8,3.7,24.36,27.8,15.405,10.456,0.0,278.941,279.196,0.0,0.0,0.0,0.0,58.9,56.6,58513.0,60815.0,8.5,14.4887,0.0,0.0,2302.0
9,1948-10-01,LNS14000000,1948,M10,1948 Oct,3.7,3.8,24.31,27.9,14.625,10.124,0.0,281.223,280.366,0.0,0.0,0.0,0.0,58.7,56.5,58387.0,60646.0,9.5,14.5963,27258.0,0.0,2259.0
