Labor Force Statistics from the Current Population Survey,,,,,,,,,,,,
Original Data Value,,,,,,,,,,,,
,,,,,,,,,,,,
Series Id:,LNS12500000,,,,,,,,,,,
Seasonally Adjusted,,,,,,,,,,,,
Series title:,"(Seas) Employed, Usually Work Full Time",,,,,,,,,,,
Labor force status:,Employed full time (persons who usually work 35 hours or more),,,,,,,,,,,
Type of data:,Number in thousands,,,,,,,,,,,
Age:,16 years and over,,,,,,,,,,,
Years:,1968 to 2024,,,,,,,,,,,
,,,,,,,,,,,,
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1968,64640,64819,65024,65272,65286,65517,65360,65286,65363,65373,65506,65630
1969,65777,66276,66325,66342,66112,66652,66621,66894,67007,66832,66964,66990
1970,67018,66956,66847,66746,66575,66700,66729,66748,66776,66752,66622,66588
1971,66573,66597,66211,66781,66884,66461,66853,67095,67276,67280,67687,67899
1972,68120,68206,68585,68647,68841,69448,69200,69374,69584,69826,70091,70427
1973,70612,70967,71263,71397,71483,72010,72030,71984,72024,72426,72680,72575
1974,72952,73112,73226,73273,73235,73299,73150,73289,73294,73203,72831,72440
1975,71688,71446,71034,70990,71239,70922,71217,71873,71951,72098,72183,72525
1976,72749,73209,73502,73886,74186,73822,74297,74362,73980,74248,74564,74784
1977,74963,75201,75470,75919,76383,76838,76819,76957,77154,77454,77942,78371
1978,78677,78827,78986,79429,79588,80574,80311,80672,80646,81093,81498,81656
1979,81962,82284,82431,82300,82297,82580,82599,82569,82995,83237,83340,83457
1980,83300,83482,83161,82778,82303,82076,81831,81889,82410,82516,82594,82833
1981,83070,83218,83386,83772,83829,83244,83611,83496,83009,83057,82849,82491
1982,82072,82282,82008,81736,81936,81507,81451,81456,80978,80777,80485,80556
1983,80552,80529,80728,81311,81226,82439,82629,82910,83253,83558,84043,84391
1984,84775,85303,85529,85813,86448,87166,86866,86968,87078,87277,87528,87569
1985,87789,87871,88466,88471,88537,88385,88121,88292,88862,89102,89258,89417
1986,89950,89450,89969,89952,90045,90365,90657,90940,91117,90884,91363,91644
1987,91821,92073,92100,92398,92790,92492,93214,93499,93340,93618,93901,94224
1988,94352,94532,94645,95022,94836,95204,95114,95363,95671,95961,95899,95922
1989,96500,96804,96851,96946,97023,97167,97471,97748,97486,97936,98189,97921
1990,99150,99006,99032,98784,98858,98927,98613,98626,98537,98451,98296,98109
1991,97857,97441,97283,97351,97069,97100,97044,97010,97365,97191,96880,96849
1992,97037,97329,97390,97550,97838,97652,97836,97752,97733,97865,97847,98134
1993,98252,98402,98531,98527,98853,98971,99072,99362,99551,99550,100006,100300
1994,98199,98507,98355,99143,99645,99431,99760,100352,100653,100797,100939,101273
1995,101268,101286,101506,101578,101234,101529,101718,101621,101733,102206,102218,102226
1996,102015,102432,102530,102702,103259,103372,103748,103863,104307,104898,104691,104671
1997,104900,104908,105479,105742,106023,106430,106813,106919,107065,107068,107519,107292
1998,107396,107482,107523,107922,108013,107747,108084,108363,108616,108759,109116,109513
1999,109882,109669,109798,109480,109879,110370,109864,110189,110374,110942,111483,111820
2000,113189,113367,113490,114390,113798,114057,113670,113812,113986,114124,114076,114289
2001,114262,114006,114617,114214,113950,113850,113969,113120,113165,112766,112724,112339
2002,112447,112635,112616,112279,112509,112388,112354,112942,113433,113425,112771,112629
2003,112746,113285,113174,113168,112991,113056,113313,113082,113208,113583,113892,114366
2004,113905,114193,114015,114087,114016,114312,114338,114716,114854,114828,115284,115501
2005,116007,115649,115765,116639,116960,117305,117278,117604,117355,117552,117580,118129
2006,118337,118667,119175,119336,119033,119615,119680,119948,120308,120609,120573,120793
2007,121159,121020,121168,120325,120902,120689,120960,120824,121232,121378,121875,121609
2008,121435,121474,121426,120708,120766,120388,120206,119534,119724,119349,118397,117096
2009,115818,114783,113607,113298,112929,112745,112406,112106,111513,110949,111211,110559
2010,110613,110778,111162,111854,112539,112608,112248,111847,111926,111723,111343,111900
2011,112248,112352,112350,112222,112263,112001,112193,112723,112544,112923,113213,113774
2012,113755,114141,115024,114371,114233,114749,114575,114736,115252,115570,115655,115791
2013,115653,115695,115808,116014,116240,116166,116201,116417,116846,116352,117078,117394
2014,117468,117734,117959,118433,118791,118229,118426,118715,119306,119787,119717,120138
2015,120452,120658,120981,120813,121514,121021,121642,122067,121760,122094,122182,122757
2016,123036,123004,123590,123214,123314,123784,124076,124594,124237,124109,124076,124126
2017,124553,124884,125626,126092,125727,126180,126113,126007,126780,126656,126588,126459
2018,126964,127544,127447,127935,128805,128859,129213,128704,129029,129240,129632,129618
2019,129696,129955,129744,129780,129882,130453,130693,130921,131280,131590,131490,131675
2020,130864,130815,128866,114168,116478,119255,119973,122520,122592,123796,124428,124953
2021,125190,125018,125704,126218,126466,126132,127475,127507,128081,128502,129440,130406
2022,131245,131745,132507,131936,132676,132527,132485,132447,132618,132214,132262,132422
2023,132700,133230,134287,134446,134427,134787,134192,134267,134145,134502,134727,133196
2024,133133,132946,132940,133889,133264,133236,133684,133246,133660,133496,133385,
