Labor Force Statistics from the Current Population Survey,,,,,,,,,,,,
Original Data Value,,,,,,,,,,,,
,,,,,,,,,,,,
Series Id:,LNS12600000,,,,,,,,,,,
Seasonally Adjusted,,,,,,,,,,,,
Series title:,"(Seas) Employed, Usually Work Part Time",,,,,,,,,,,
Labor force status:,Employed part time (persons who usually work less than 35 hours),,,,,,,,,,,
Type of data:,Number in thousands,,,,,,,,,,,
Age:,16 years and over,,,,,,,,,,,
Years:,1968 to 2024,,,,,,,,,,,
,,,,,,,,,,,,
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1968,10086,10425,10334,10440,10788,10752,10678,10597,10863,10737,10949,11033
1969,11015,11064,11011,11264,11257,11299,11234,11207,11307,11568,11597,11769
1970,11760,11749,11926,12173,11960,11854,11988,11881,11828,11905,12031,11995
1971,12229,12042,12223,12150,12188,12518,12532,12589,12514,12612,12590,12563
1972,12826,12850,12841,12940,12971,12685,13008,13283,13067,12827,12935,13005
1973,12622,13043,13197,13226,13185,13033,12974,12948,13550,13630,13696,13865
1974,13663,13720,13636,13527,13685,13539,13765,13548,13802,13828,13835,13782
1975,13900,13822,14053,14167,14139,14642,14928,14567,14315,14260,14237,14156
1976,14535,14471,14421,14537,14518,14893,14898,14981,15134,15005,15042,15063
1977,14927,15142,15288,15383,15323,15164,15272,15434,15460,15610,15835,15845
1978,15700,15727,15711,16018,16181,15659,15597,15454,15973,16060,16018,16061
1979,16086,16146,16109,15940,16051,16026,16142,16002,16315,16194,16279,16695
1980,16692,16658,16604,16556,16670,16726,16892,16889,16649,16773,16883,16874
1981,16917,17038,17198,17355,17170,17176,17001,17117,17043,17284,17279,17223
1982,17569,17449,17610,17846,18034,18310,18274,18470,18524,18373,18447,18406
1983,18508,18398,18323,18197,18227,18373,18780,18929,18757,18452,18613,18604
1984,18416,18470,18471,18557,18538,18460,18506,18208,18406,18376,18420,18665
1985,18526,18648,18604,18551,18300,18222,18629,18820,18777,18751,18768,18815
1986,18934,19020,18903,19041,18959,19252,19139,19041,18964,19390,19133,19059
1987,19178,19178,19339,19416,19569,19737,19368,19484,19574,19704,19707,19568
1988,19760,19735,19468,19690,19396,19480,19839,19817,19708,19781,20240,20138
1989,20269,20033,20287,20222,20085,19990,19833,19673,19879,19762,19818,19888
1990,20144,20233,20273,20150,20402,19913,19950,19982,20062,20232,19993,20144
1991,20138,20345,20331,20704,20403,20577,20574,20529,20634,20689,20779,20609
1992,20912,20396,20647,20796,20511,20859,20996,21074,21087,20827,20976,20869
1993,20768,20836,20913,20876,21210,21336,21484,21398,21148,21322,21229,21296
1994,23738,23427,23451,23023,23171,23216,23054,22994,23097,23288,23631,23475
1995,23393,23472,23388,23271,23173,22997,23174,23171,23469,23201,23075,22917
1996,23104,23054,23222,23159,22980,23276,23281,23363,23242,23022,23202,23231
1997,23397,23291,23358,23329,23382,23030,23018,23098,22949,23152,23269,23457
1998,23251,23218,23352,23193,23311,23568,23197,22955,23314,23296,23314,23181
1999,23062,23101,23188,23360,23377,23065,23485,23354,23277,23101,22981,22949
2000,23233,23179,23266,22918,22793,22834,22641,22725,22839,23042,23346,23633
2001,23423,23542,23273,23115,23089,22990,22923,23146,23654,23662,23559,23860
2002,23120,23699,23667,23854,23969,24053,24052,23856,23906,23601,23755,23908
2003,24525,24038,24263,24431,24497,24777,24249,24687,24430,24404,24551,24083
2004,24501,24204,24378,24535,24778,24919,25382,24966,24654,24936,24922,24681
2005,24314,24621,24784,24549,24584,24350,24767,24851,25096,25074,24915,24674
2006,24884,24731,24542,24325,24989,24774,24477,24629,24549,24784,24958,25226
2007,24986,25016,25144,25143,24932,25435,24897,24753,24996,24680,24758,24745
2008,25067,24692,24715,25352,25063,25416,25288,25595,25327,25508,25666,26333
2009,26377,26722,27069,27279,27239,27459,27737,27509,27273,27462,27327,27479
2010,27781,27627,27558,27386,26692,26658,26991,27703,27459,27353,27561,27419
2011,26987,26872,27282,27333,27381,27469,27432,27296,27644,27474,27434,27168
2012,27834,27582,27023,27508,28054,27674,27746,27600,27810,27975,27545,27580
2013,27546,27584,27439,27584,27715,27863,28145,27896,27552,27323,27379,27418
2014,27574,27379,27620,27170,27105,28023,28028,27814,27461,27772,27696,27473
2015,27559,27389,27126,27645,27355,27778,27211,27062,27035,27251,27295,27371
2016,27517,27827,27660,27783,28008,27559,27569,27208,27538,27645,27892,27921
2017,27428,27554,27501,27202,27479,27168,27600,27518,27513,26990,27181,27316
2018,27321,27561,27869,27453,26990,26979,27032,26821,26983,27130,27038,27032
2019,26637,26837,27058,26972,27154,26827,26921,26890,27004,26905,27062,27014
2020,27445,27758,26636,19287,20897,23085,23873,24722,25015,26096,25417,24890
2021,24533,25075,25138,25042,25265,25647,25362,25717,25766,25955,26004,25584
2022,25718,25744,25917,26122,25858,25578,25867,26240,26207,26444,26132,26712
2023,27331,27020,26744,26673,26493,26248,27181,27201,27348,26702,27032,27794
2024,27890,27941,28632,27718,28004,28054,27729,28256,28161,27934,27666,
