DATE,GDI
1947-01-01,240.092
1947-04-01,243.209
1947-07-01,247.579
1947-10-01,256.122
1948-01-01,265.07
1948-04-01,273.654
1948-07-01,278.941
1948-10-01,281.223
1949-01-01,274.18
1949-04-01,270.661
1949-07-01,270.863
1949-10-01,267.232
1950-01-01,277.506
1950-04-01,289.932
1950-07-01,307.524
1950-10-01,319.297
1951-01-01,332.534
1951-04-01,340.649
1951-07-01,346.823
1951-10-01,353.871
1952-01-01,356.053
1952-04-01,358.604
1952-07-01,365.999
1952-10-01,378.271
1953-01-01,385.073
1953-04-01,388.515
1953-07-01,387.598
1953-10-01,380.524
1954-01-01,382.558
1954-04-01,383.6
1954-07-01,387.551
1954-10-01,396.846
1955-01-01,409.644
1955-04-01,419.737
1955-07-01,428.228
1955-10-01,435.768
1956-01-01,440.533
1956-04-01,447.678
1956-07-01,453.772
1956-10-01,463.554
1957-01-01,471.077
1957-04-01,473.964
1957-07-01,478.836
1957-10-01,473.699
1958-01-01,468.148
1958-04-01,470.909
1958-07-01,484.819
1958-10-01,498.445
1959-01-01,510.145
1959-04-01,524.882
1959-07-01,522.572
1959-10-01,528.21
1960-01-01,542.125
1960-04-01,543.396
1960-07-01,545.291
1960-10-01,543.938
1961-01-01,546.222
1961-04-01,556.721
1961-07-01,567.148
1961-10-01,582.407
1962-01-01,592.505
1962-04-01,600.073
1962-07-01,607.427
1962-10-01,615.802
1963-01-01,623.85
1963-04-01,634.043
1963-07-01,643.45
1963-10-01,654.309
1964-01-01,667.299
1964-04-01,678.727
1964-07-01,691.1
1964-10-01,700.907
1965-01-01,720.152
1965-04-01,732.681
1965-07-01,745.903
1965-10-01,767.46
1966-01-01,789.329
1966-04-01,801.086
1966-07-01,814.396
1966-10-01,828.503
1967-01-01,836.797
1967-04-01,845.681
1967-07-01,862.763
1967-10-01,881.145
1968-01-01,904.129
1968-04-01,927.463
1968-07-01,949.276
1968-10-01,969.185
1969-01-01,988.736
1969-04-01,1007.398
1969-07-01,1028.459
1969-10-01,1039.539
1970-01-01,1047.063
1970-04-01,1061.858
1970-07-01,1079.478
1970-10-01,1083.461
1971-01-01,1121.847
1971-04-01,1143.994
1971-07-01,1165.451
1971-10-01,1190.035
1972-01-01,1225.632
1972-04-01,1249.073
1972-07-01,1281.679
1972-10-01,1331.426
1973-01-01,1370.82
1973-04-01,1399.511
1973-07-01,1431.358
1973-10-01,1475.234
1974-01-01,1491.146
1974-04-01,1520.365
1974-07-01,1556.456
1974-10-01,1583.154
1975-01-01,1600.724
1975-04-01,1637.971
1975-07-01,1700.816
1975-10-01,1746.705
1976-01-01,1801.802
1976-04-01,1831.4
1976-07-01,1869.193
1976-10-01,1908.639
1977-01-01,1960.906
1977-04-01,2035.208
1977-07-01,2097.868
1977-10-01,2155.534
1978-01-01,2199.97
1978-04-01,2309.587
1978-07-01,2365.857
1978-10-01,2437.684
1979-01-01,2501.832
1979-04-01,2550.227
1979-07-01,2609.135
1979-10-01,2668.123
1980-01-01,2722.05
1980-04-01,2741.686
1980-07-01,2823.75
1980-10-01,2964.663
1981-01-01,3064.9
1981-04-01,3127.116
1981-07-01,3231.849
1981-10-01,3253.483
1982-01-01,3272.128
1982-04-01,3326.727
1982-07-01,3360.833
1982-10-01,3380.87
1983-01-01,3442.826
1983-04-01,3526.639
1983-07-01,3613.588
1983-10-01,3725.69
1984-01-01,3866.136
1984-04-01,3962.847
1984-07-01,4040.395
1984-10-01,4115.393
1985-01-01,4191.02
1985-04-01,4248.348
1985-07-01,4325.809
1985-10-01,4374.446
1986-01-01,4439.594
1986-04-01,4468.777
1986-07-01,4515.237
1986-10-01,4575.53
1987-01-01,4652.468
1987-04-01,4759.392
1987-07-01,4865.151
1987-10-01,4969.432
1988-01-01,5068.209
1988-04-01,5176.433
1988-07-01,5285.539
1988-10-01,5404.274
1989-01-01,5493.904
1989-04-01,5542.536
1989-07-01,5606.205
1989-10-01,5652.361
1990-01-01,5767.833
1990-04-01,5864.899
1990-07-01,5910.988
1990-10-01,5927.434
1991-01-01,5973.071
1991-04-01,6034.491
1991-07-01,6098.185
1991-10-01,6155.919
1992-01-01,6284.7
1992-04-01,6375.336
1992-07-01,6427.0
1992-10-01,6532.228
1993-01-01,6546.005
1993-04-01,6664.264
1993-07-01,6717.134
1993-10-01,6885.13
1994-01-01,6956.227
1994-04-01,7098.217
1994-07-01,7205.842
1994-10-01,7331.661
1995-01-01,7401.941
1995-04-01,7480.96
1995-07-01,7610.482
1995-10-01,7696.985
1996-01-01,7820.26
1996-04-01,7967.235
1996-07-01,8066.765
1996-10-01,8210.113
1997-01-01,8349.95
1997-04-01,8474.827
1997-07-01,8648.935
1997-10-01,8795.494
1998-01-01,8894.375
1998-04-01,9046.494
1998-07-01,9210.815
1998-10-01,9325.159
1999-01-01,9486.042
1999-04-01,9567.858
1999-07-01,9695.871
1999-10-01,9892.178
2000-01-01,10156.063
2000-04-01,10287.356
2000-07-01,10442.351
2000-10-01,10501.081
2001-01-01,10679.421
2001-04-01,10732.106
2001-07-01,10718.673
2001-10-01,10664.415
2002-01-01,10826.772
2002-04-01,10967.337
2002-07-01,11051.742
2002-10-01,11197.272
2003-01-01,11245.795
2003-04-01,11377.023
2003-07-01,11565.399
2003-10-01,11734.357
2004-01-01,11916.004
2004-04-01,12148.492
2004-07-01,12376.076
2004-10-01,12540.611
2005-01-01,12750.057
2005-04-01,12964.763
2005-07-01,13180.576
2005-10-01,13489.392
2006-01-01,13795.893
2006-04-01,13973.084
2006-07-01,14125.037
2006-10-01,14207.487
2007-01-01,14341.982
2007-04-01,14511.372
2007-07-01,14465.128
2007-10-01,14529.241
2008-01-01,14574.086
2008-04-01,14617.898
2008-07-01,14711.004
2008-10-01,14411.662
2009-01-01,14162.551
2009-04-01,14188.354
2009-07-01,14263.641
2009-10-01,14530.841
2010-01-01,14652.508
2010-04-01,14865.717
2010-07-01,15136.173
2010-10-01,15263.709
2011-01-01,15358.947
2011-04-01,15573.082
2011-07-01,15700.283
2011-10-01,15863.772
2012-01-01,16274.824
2012-04-01,16379.664
2012-07-01,16329.29
2012-10-01,16646.696
2013-01-01,16711.465
2013-04-01,16848.772
2013-07-01,16946.988
2013-10-01,17134.661
2014-01-01,17313.351
2014-04-01,17652.741
2014-07-01,17928.908
2014-10-01,18101.313
2015-01-01,18212.948
2015-04-01,18381.066
2015-07-01,18460.774
2015-10-01,18497.179
2016-01-01,18592.063
2016-04-01,18630.413
2016-07-01,18800.88
2016-10-01,18984.656
2017-01-01,19237.015
2017-04-01,19405.93
2017-07-01,19601.627
2017-10-01,19932.229
2018-01-01,20204.957
2018-04-01,20470.2
2018-07-01,20760.836
2018-10-01,20936.314
2019-01-01,21211.258
2019-04-01,21369.395
2019-07-01,21557.692
2019-10-01,21793.424
2020-01-01,21760.154
2020-04-01,19789.939
2020-07-01,21261.97
2020-10-01,22173.83
2021-01-01,22686.561
2021-04-01,23338.862
2021-07-01,23947.672
2021-10-01,24745.215
2022-01-01,25355.214
2022-04-01,25912.65
2022-07-01,26454.67
2022-10-01,26607.38
2023-01-01,26964.49
2023-04-01,27229.296
2023-07-01,27627.915
2023-10-01,28082.659
2024-01-01,28499.212
2024-04-01,28821.879
2024-07-01,29114.0
