Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1948,58.6,58.9,58.5,59,58.3,59.2,59.3,58.9,58.9,58.7,58.7,59.1
1949,58.7,59,58.9,58.8,59,58.6,58.9,59.2,59.1,59.6,59.4,59.2
1950,58.9,58.9,58.8,59.2,59.1,59.4,59.1,59.5,59.2,59.4,59.3,59.2
1951,59.1,59.1,59.8,59.1,59.4,59,59.4,59.2,59.1,59.4,59.2,59.6
1952,59.5,59.5,58.9,58.8,59.1,59.1,58.9,58.7,59.2,58.7,59.1,59.2
1953,59.5,59.5,59.6,59.1,58.6,58.9,58.9,58.6,58.5,58.5,58.6,58.3
1954,58.6,59.3,59.1,59.2,58.9,58.5,58.4,58.7,59.2,58.8,58.6,58.1
1955,58.6,58.4,58.5,59,58.8,58.8,59.3,59.7,59.7,59.8,59.9,60.2
1956,60.2,59.9,59.8,59.9,60.2,60.1,60.1,60,60,59.8,59.8,59.8
1957,59.5,59.9,59.8,59.5,59.5,59.8,60,59.3,59.6,59.5,59.5,59.6
1958,59.3,59.3,59.3,59.6,59.8,59.5,59.6,59.8,59.7,59.6,59.2,59.2
1959,59.3,59,59.3,59.4,59.2,59.2,59.4,59.2,59.3,59.4,59.1,59.5
1960,59.1,59.1,58.5,59.5,59.5,59.7,59.5,59.5,59.7,59.4,59.8,59.7
1961,59.6,59.6,59.7,59.3,59.4,59.7,59.3,59.3,59,59.1,59.1,58.8
1962,58.8,59,58.9,58.7,58.9,58.8,58.5,59,59,58.7,58.5,58.4
1963,58.6,58.6,58.6,58.8,58.8,58.5,58.7,58.5,58.7,58.8,58.8,58.5
1964,58.6,58.8,58.7,59.1,59.1,58.7,58.6,58.6,58.7,58.6,58.5,58.6
1965,58.6,58.7,58.7,58.8,59,58.8,59.1,58.9,58.7,58.9,58.8,59
1966,59,58.8,58.8,59,59,59.1,59.1,59.3,59.3,59.3,59.6,59.5
1967,59.5,59.3,59.1,59.4,59.3,59.6,59.6,59.7,59.7,59.9,59.8,59.9
1968,59.2,59.6,59.6,59.5,59.9,60,59.8,59.6,59.5,59.5,59.6,59.7
1969,59.6,60,59.9,60,59.8,60.1,60.1,60.3,60.3,60.4,60.2,60.2
1970,60.4,60.4,60.6,60.6,60.3,60.2,60.4,60.3,60.2,60.4,60.4,60.4
1971,60.4,60.1,60,60.1,60.2,59.8,60.1,60.2,60.1,60.1,60.4,60.4
1972,60.2,60.2,60.5,60.4,60.4,60.4,60.4,60.6,60.4,60.3,60.3,60.5
1973,60,60.5,60.8,60.8,60.6,60.9,60.9,60.7,60.8,60.9,61.2,61.2
1974,61.3,61.4,61.3,61.1,61.2,61.2,61.4,61.2,61.4,61.3,61.3,61.2
1975,61.4,61,61.2,61.3,61.5,61.2,61.3,61.3,61.2,61.2,61.1,61.1
1976,61.3,61.3,61.3,61.6,61.5,61.5,61.8,61.8,61.6,61.6,61.9,61.8
1977,61.6,61.9,62,62.1,62.2,62.4,62.1,62.3,62.3,62.4,62.8,62.7
1978,62.8,62.7,62.8,63,63.1,63.3,63.2,63.2,63.3,63.3,63.5,63.6
1979,63.6,63.8,63.8,63.5,63.3,63.5,63.6,63.6,63.8,63.7,63.7,63.9
1980,64,64,63.7,63.8,63.9,63.7,63.8,63.7,63.6,63.7,63.8,63.6
1981,63.9,63.9,64.1,64.2,64.3,63.7,63.8,63.8,63.5,63.8,63.9,63.6
1982,63.7,63.8,63.8,63.9,64.2,63.9,64,64.1,64.1,64.1,64.2,64.1
1983,63.9,63.8,63.7,63.8,63.7,64.3,64.1,64.3,64.3,64,64.1,64.1
1984,63.9,64.1,64.1,64.3,64.5,64.6,64.6,64.4,64.4,64.4,64.5,64.6
1985,64.7,64.7,64.9,64.9,64.8,64.6,64.7,64.6,64.9,65,64.9,65
1986,64.9,65,65.1,65.1,65.2,65.4,65.4,65.3,65.4,65.4,65.4,65.3
1987,65.4,65.5,65.5,65.4,65.7,65.5,65.6,65.7,65.5,65.7,65.7,65.7
1988,65.8,65.9,65.7,65.8,65.7,65.8,65.9,66.1,65.9,66,66.2,66.1
1989,66.5,66.3,66.3,66.4,66.3,66.5,66.5,66.5,66.4,66.5,66.6,66.5
1990,66.8,66.7,66.7,66.6,66.6,66.4,66.5,66.5,66.4,66.4,66.4,66.4
1991,66.2,66.2,66.3,66.4,66.2,66.2,66.1,66,66.2,66.1,66.1,66
1992,66.3,66.2,66.4,66.5,66.6,66.7,66.7,66.6,66.5,66.2,66.3,66.3
1993,66.2,66.2,66.2,66.1,66.4,66.5,66.4,66.4,66.2,66.3,66.3,66.4
1994,66.6,66.6,66.5,66.5,66.6,66.4,66.4,66.6,66.6,66.7,66.7,66.7
1995,66.8,66.8,66.7,66.9,66.5,66.5,66.6,66.6,66.6,66.6,66.5,66.4
1996,66.4,66.6,66.6,66.7,66.7,66.7,66.9,66.7,66.9,67,67,67
1997,67,66.9,67.1,67.1,67.1,67.1,67.2,67.2,67.1,67.1,67.2,67.2
1998,67.1,67.1,67.1,67,67,67,67,67,67.2,67.2,67.1,67.2
1999,67.2,67.2,67,67.1,67.1,67.1,67.1,67,67,67,67.1,67.1
2000,67.3,67.3,67.3,67.3,67.1,67.1,66.9,66.9,66.9,66.8,66.9,67
2001,67.2,67.1,67.2,66.9,66.7,66.7,66.8,66.5,66.8,66.7,66.7,66.7
2002,66.5,66.8,66.6,66.7,66.7,66.6,66.5,66.6,66.7,66.6,66.4,66.3
2003,66.4,66.4,66.3,66.4,66.4,66.5,66.2,66.1,66.1,66.1,66.1,65.9
2004,66.1,66,66,65.9,66,66.1,66.1,66,65.8,65.9,66,65.9
2005,65.8,65.9,65.9,66.1,66.1,66.1,66.1,66.2,66.1,66.1,66,66
2006,66,66.1,66.2,66.1,66.1,66.2,66.1,66.2,66.1,66.2,66.3,66.4
2007,66.4,66.3,66.2,65.9,66,66,66,65.8,66,65.8,66,66
2008,66.2,66,66.1,65.9,66.1,66.1,66.1,66.1,66,66,65.9,65.8
2009,65.7,65.8,65.6,65.7,65.7,65.7,65.5,65.4,65.1,65,65,64.6
2010,64.8,64.9,64.9,65.2,64.9,64.6,64.6,64.7,64.6,64.4,64.6,64.3
2011,64.2,64.1,64.2,64.2,64.1,64,64,64.1,64.2,64.1,64.1,64
2012,63.7,63.8,63.8,63.7,63.7,63.8,63.7,63.5,63.6,63.8,63.6,63.7
2013,63.7,63.4,63.3,63.4,63.4,63.4,63.3,63.3,63.2,62.8,63,62.9
2014,62.9,62.9,63.1,62.8,62.9,62.8,62.9,62.9,62.8,62.9,62.9,62.8
2015,62.9,62.7,62.6,62.8,62.9,62.7,62.6,62.6,62.4,62.5,62.5,62.7
2016,62.7,62.8,63,62.9,62.7,62.7,62.8,62.9,62.9,62.8,62.7,62.7
2017,62.8,62.9,62.9,63,62.8,62.8,62.9,62.9,63.1,62.7,62.7,62.7
2018,62.7,63,62.9,62.9,62.9,63,63,62.6,62.8,62.9,62.9,63
2019,63.1,63.1,63,62.8,62.9,63,63.1,63.1,63.2,63.3,63.3,63.3
2020,63.3,63.3,62.6,60.1,60.8,61.5,61.5,61.7,61.5,61.7,61.5,61.5
2021,61.3,61.4,61.5,61.6,61.5,61.7,61.8,61.8,61.7,61.8,61.9,62
2022,62.2,62.2,62.3,62.2,62.3,62.2,62.1,62.4,62.3,62.3,62.1,62.3
2023,62.4,62.5,62.6,62.6,62.6,62.6,62.6,62.8,62.8,62.7,62.8,62.5
2024,62.5,62.5,62.7,62.7,62.5,62.6,62.7,62.7,62.7,62.6,62.5,
