Labor Force Statistics from the Current Population Survey,,,,,,,,,,,,
Original Data Value,,,,,,,,,,,,
,,,,,,,,,,,,
Series Id:,LNS12026619,,,,,,,,,,,
Seasonally Adjusted,,,,,,,,,,,,
Series title:,(Seas) Multiple Jobholders,,,,,,,,,,,
Labor force status:,Employed,,,,,,,,,,,
Type of data:,Number in thousands,,,,,,,,,,,
Age:,16 years and over,,,,,,,,,,,
Multiple jobholders:,Multiple job holders,,,,,,,,,,,
Years:,1994 to 2024,,,,,,,,,,,
,,,,,,,,,,,,
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1994,7116,6956,7174,7367,7151,7130,7218,7325,7608,7345,7345,7391
1995,7521,7675,7605,7773,7767,7887,7825,7849,7751,7666,7472,7546
1996,7458,7804,7891,7563,7660,7745,7682,7844,7901,8070,8309,8043
1997,7870,7820,7830,7946,8003,8305,8093,7949,7931,7874,7961,7909
1998,7954,7828,7931,8018,7945,7824,7665,7856,7993,8002,8117,7998
1999,8113,7982,7940,7735,7751,7615,7645,7701,7641,7827,7908,7800
2000,7895,7687,7656,7885,7652,7448,7588,7515,7550,7445,7415,7556
2001,7366,7517,7555,7439,7496,7469,7498,7389,7319,7036,7112,7105
2002,7186,7326,7361,7443,7252,7374,7244,7210,7267,7157,7243,7416
2003,7351,7492,7285,7279,7389,7378,7306,7549,7091,7323,7283,7044
2004,7284,7144,7291,7334,7329,7425,7522,7688,7575,7797,7601,7644
2005,7375,7610,7535,7502,7425,7755,7597,7535,7605,7572,7508,7521
2006,7597,7400,7531,7389,7696,7355,7448,7552,7697,7624,7768,7867
2007,7716,7711,7748,7832,7693,7614,7619,7550,7550,7636,7692,7538
2008,7602,7536,7454,7576,7567,7782,7767,8071,7686,7635,7430,7415
2009,7466,7573,7668,7700,7141,7117,7333,7086,7102,7094,7121,6887
2010,6948,7034,7011,7028,7059,6956,6657,6811,6711,6730,6708,6899
2011,6816,6741,6735,6823,6880,6946,6850,6940,6995,6917,6946,6977
2012,7022,6966,6954,6903,6980,6804,6916,6921,6865,6888,7060,7003
2013,6899,7281,7068,7002,6966,7108,7115,7077,6995,6877,6776,6851
2014,6817,7012,6996,7158,7195,7105,7016,7144,7130,7610,7318,7220
2015,7412,7068,7100,7017,7027,7197,7224,7234,7302,7430,7356,7757
2016,7401,7327,7432,7420,7460,7224,7286,7529,7867,7884,7932,7620
2017,7574,7855,8009,7620,7570,7538,7377,7219,7365,7219,7470,7707
2018,7893,7961,7633,7650,7426,7583,7909,7814,7684,7915,7815,7940
2019,7867,7670,7899,7794,7900,8132,8390,8340,8356,8165,8154,7947
2020,8201,8021,7221,5380,5542,6223,6629,6785,6503,6716,6593,6406
2021,6628,6655,6873,6909,7293,7111,7076,7036,7056,7013,7078,7354
2022,7439,7409,7355,7563,7361,7564,7639,7765,7764,7513,7671,8020
2023,7984,7883,7984,7709,7770,8021,8162,8069,8173,8360,8343,8565
2024,8272,8259,8476,8383,8399,8340,8473,8538,8659,8305,8580,
