Labor Force Statistics from the Current Population Survey,,,,,,,,,,,,
Original Data Value,,,,,,,,,,,,
,,,,,,,,,,,,
Series Id:,LNS12026620,,,,,,,,,,,
Seasonally Adjusted,,,,,,,,,,,,
Series title:,(Seas) Multiple Jobholders as a Percent of Employed,,,,,,,,,,,
Labor force status:,Employed,,,,,,,,,,,
Type of data:,Percent or rate,,,,,,,,,,,
Age:,16 years and over,,,,,,,,,,,
Multiple jobholders:,Multiple job holders,,,,,,,,,,,
Percent/rates:,Percent of employed within group,,,,,,,,,,,
Years:,1994 to 2024,,,,,,,,,,,
,,,,,,,,,,,,
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1994,5.8,5.7,5.9,6.0,5.8,5.8,5.9,5.9,6.2,5.9,5.9,5.9
1995,6.0,6.1,6.1,6.2,6.2,6.3,6.3,6.3,6.2,6.1,6.0,6.0
1996,6.0,6.2,6.3,6.0,6.1,6.1,6.1,6.2,6.2,6.3,6.5,6.3
1997,6.1,6.1,6.1,6.2,6.2,6.4,6.2,6.1,6.1,6.0,6.1,6.1
1998,6.1,6.0,6.1,6.1,6.0,6.0,5.8,6.0,6.1,6.1,6.1,6.0
1999,6.1,6.0,6.0,5.8,5.8,5.7,5.7,5.8,5.7,5.8,5.9,5.8
2000,5.8,5.6,5.6,5.7,5.6,5.4,5.6,5.5,5.5,5.4,5.4,5.5
2001,5.3,5.5,5.5,5.4,5.5,5.5,5.5,5.4,5.3,5.2,5.2,5.2
2002,5.3,5.4,5.4,5.5,5.3,5.4,5.3,5.3,5.3,5.2,5.3,5.4
2003,5.3,5.4,5.3,5.3,5.4,5.4,5.3,5.5,5.2,5.3,5.3,5.1
2004,5.3,5.2,5.3,5.3,5.3,5.3,5.4,5.5,5.4,5.6,5.4,5.5
2005,5.3,5.4,5.4,5.3,5.2,5.5,5.3,5.3,5.3,5.3,5.3,5.3
2006,5.3,5.2,5.2,5.1,5.3,5.1,5.2,5.2,5.3,5.2,5.3,5.4
2007,5.3,5.3,5.3,5.4,5.3,5.2,5.2,5.2,5.2,5.2,5.2,5.2
2008,5.2,5.2,5.1,5.2,5.2,5.3,5.3,5.6,5.3,5.3,5.2,5.2
2009,5.3,5.3,5.4,5.5,5.1,5.1,5.2,5.1,5.1,5.1,5.1,5.0
2010,5.0,5.1,5.1,5.0,5.1,5.0,4.8,4.9,4.8,4.8,4.8,5.0
2011,4.9,4.8,4.8,4.9,4.9,5.0,4.9,5.0,5.0,4.9,4.9,5.0
2012,5.0,4.9,4.9,4.9,4.9,4.8,4.9,4.9,4.8,4.8,4.9,4.9
2013,4.8,5.1,4.9,4.9,4.8,4.9,4.9,4.9,4.8,4.8,4.7,4.7
2014,4.7,4.8,4.8,4.9,4.9,4.9,4.8,4.9,4.9,5.2,5.0,4.9
2015,5.0,4.8,4.8,4.7,4.7,4.8,4.9,4.8,4.9,5.0,4.9,5.2
2016,4.9,4.9,4.9,4.9,4.9,4.8,4.8,5.0,5.2,5.2,5.2,5.0
2017,5.0,5.2,5.2,5.0,4.9,4.9,4.8,4.7,4.8,4.7,4.9,5.0
2018,5.1,5.1,4.9,4.9,4.8,4.9,5.1,5.0,4.9,5.1,5.0,5.1
2019,5.0,4.9,5.0,5.0,5.0,5.2,5.3,5.3,5.3,5.2,5.1,5.0
2020,5.2,5.1,4.6,4.0,4.0,4.4,4.6,4.6,4.4,4.5,4.4,4.3
2021,4.4,4.4,4.6,4.6,4.8,4.7,4.6,4.6,4.6,4.5,4.6,4.7
2022,4.7,4.7,4.6,4.8,4.6,4.8,4.8,4.9,4.9,4.7,4.8,5.0
2023,5.0,4.9,5.0,4.8,4.8,5.0,5.1,5.0,5.1,5.2,5.2,5.3
2024,5.1,5.1,5.2,5.2,5.2,5.2,5.3,5.3,5.3,5.1,5.3,
