Labor Force Statistics from the Current Population Survey,,,,,,,,,,,,
Original Data Value,,,,,,,,,,,,
,,,,,,,,,,,,
Series Id:,LNS15000000,,,,,,,,,,,
Seasonally Adjusted,,,,,,,,,,,,
Series title:,(Seas) Not in Labor Force,,,,,,,,,,,
Labor force status:,Not in labor force,,,,,,,,,,,
Type of data:,Number in thousands,,,,,,,,,,,
Age:,16 years and over,,,,,,,,,,,
Years:,1975 to 2024,,,,,,,,,,,
,,,,,,,,,,,,
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1975,58627,59214,59052,59044,58820,59400,59288,59418,59646,59815,60088,60180
1976,59919,60068,60091,59783,59918,60142,59693,59784,60226,60289,59981,60090
1977,60480,60128,60016,60041,59992,59836,60272,60064,60221,60100,59553,59886
1978,59744,59994,59946,59689,59622,59424,59635,59748,59707,59703,59455,59463
1979,59459,59224,59438,59990,60288,60082,59968,60102,59901,60113,60239,60042
1980,59982,60062,60542,60606,60478,60863,60773,60998,61199,61098,61127,61531
1981,61078,61038,60900,60716,60607,61646,61690,61674,62299,61785,61760,62254
1982,62246,62022,62100,62024,61575,62109,62022,61997,61969,62137,62008,62116
1983,62659,62871,63069,62966,63157,62246,62550,62209,62304,62853,62723,62794
1984,63324,63064,63111,62871,62474,62467,62468,62901,62906,62937,62965,62725
1985,62659,62640,62339,62468,62710,63131,62943,63114,62667,62625,62805,62758
1986,62988,62939,62765,62832,62783,62419,62553,62678,62602,62670,62729,62936
1987,62982,62876,62909,63008,62525,63059,62983,62684,63150,62802,62930,62891
1988,62853,62813,63198,62981,63303,63089,63064,62705,63002,62908,62607,62780
1989,62254,62642,62670,62459,62707,62334,62516,62432,62782,62660,62380,62668
1990,62580,62806,62829,63129,63020,63485,63456,63352,63636,63715,63802,63875
1991,64208,64251,64143,63969,64474,64469,64792,64966,64652,64855,64956,65134
1992,64692,64860,64600,64513,64384,64204,64263,64405,64728,65416,65180,65230
1993,65562,65650,65650,65814,65285,65308,65485,65444,65991,65871,65914,65853
1994,65357,65421,65813,65742,65731,66132,66207,65768,65827,65686,65716,65814
1995,65715,65770,65899,65558,66435,66504,66272,66465,66394,66476,66741,66997
1996,67018,66820,66741,66692,66611,66762,66357,66793,66546,66352,66456,66523
1997,66829,66988,66622,66658,66713,66789,66689,66746,66895,67134,66980,66943
1998,67143,67288,67311,67581,67527,67630,67682,67910,67413,67640,67723,67635
1999,67715,67906,68306,68277,68320,68304,68390,68609,68642,68712,68641,68655
2000,69142,69120,69338,69267,69853,69876,70398,70401,70645,70782,70579,70488
2001,70088,70409,70381,70956,71414,71592,71526,72136,71676,71817,71876,72010
2002,72623,72010,72343,72281,72260,72600,72827,72856,72554,73026,73508,73675
2003,73960,74015,74295,74066,74268,73958,74767,75062,75249,75324,75280,75780
2004,75319,75648,75606,75907,75903,75735,75730,76113,76526,76399,76259,76581
2005,76808,76677,76846,76514,76409,76673,76721,76642,76739,76958,77138,77394
2006,77339,77122,77161,77318,77359,77317,77535,77451,77757,77634,77499,77376
2007,77506,77851,77982,78818,78810,78671,78904,79461,79047,79532,79105,79238
2008,78554,79156,79087,79429,79102,79314,79395,79466,79790,79736,80189,80380
2009,80529,80374,80953,80762,80705,80938,81367,81780,82495,82766,82865,83813
2010,83349,83304,83206,82707,83409,84075,84199,84014,84347,84895,84590,85240
2011,85441,85637,85623,85603,85834,86144,86383,86111,85940,86308,86312,86589
2012,87888,87765,87855,88239,88100,88073,88405,88803,88613,88429,88836,88722
2013,88900,89516,89990,89780,89827,89803,90156,90355,90481,91708,91302,91563
2014,91563,91603,91230,92070,91938,92107,92016,92099,92406,92240,92350,92695
2015,92694,93256,93437,93205,92804,93601,93880,93924,94592,94374,94284,93901
2016,94117,93937,93589,93828,94390,94430,94426,94292,94377,94716,95034,95064
2017,94462,94386,94277,94243,94699,94766,94689,94771,94423,95457,95370,95574
2018,95866,95156,95411,95501,95606,95433,95502,96406,96202,95913,95871,95682
2019,95277,95393,95633,96107,96110,95870,95635,95658,95546,95429,95524,95483
2020,95174,95216,97177,103621,101981,100201,100195,99799,100496,99963,100458,100468
2021,100838,100786,100608,100219,100474,100045,99911,100053,100197,100160,99788,99707
2022,99587,99517,99232,99637,99399,99735,99946,99443,99707,99856,100267,99846
2023,100090,99849,99582,99766,99795,99801,99889,99374,99531,99919,99695,100540
2024,100265,100285,99989,100083,100516,100429,100215,100306,100381,100809,101177,
