DATE,LFWA64TTUSM647S
1977-01-01,135212700.0
1977-02-01,135414800.0
1977-03-01,135625400.0
1977-04-01,135783000.0
1977-05-01,136108500.0
1977-06-01,136288000.0
1977-07-01,136551400.0
1977-08-01,136722500.0
1977-09-01,136880300.0
1977-10-01,137168300.0
1977-11-01,137298500.0
1977-12-01,137436500.0
1978-01-01,137646000.0
1978-02-01,137897700.0
1978-03-01,138043800.0
1978-04-01,138159600.0
1978-05-01,138347500.0
1978-06-01,138619100.0
1978-07-01,138827400.0
1978-08-01,138981000.0
1978-09-01,139157800.0
1978-10-01,139382700.0
1978-11-01,139568500.0
1978-12-01,139760100.0
1979-01-01,140032300.0
1979-02-01,140219700.0
1979-03-01,140438800.0
1979-04-01,140496300.0
1979-05-01,140740600.0
1979-06-01,141070900.0
1979-07-01,141204000.0
1979-08-01,141357500.0
1979-09-01,141461100.0
1979-10-01,141692800.0
1979-11-01,141896100.0
1979-12-01,142043400.0
1980-01-01,142302100.0
1980-02-01,142453000.0
1980-03-01,142644500.0
1980-04-01,142878000.0
1980-05-01,143306600.0
1980-06-01,143579100.0
1980-07-01,143730400.0
1980-08-01,143987900.0
1980-09-01,144005400.0
1980-10-01,144061200.0
1980-11-01,144186700.0
1980-12-01,144227200.0
1981-01-01,144338800.0
1981-02-01,144435500.0
1981-03-01,144577100.0
1981-04-01,144689500.0
1981-05-01,144978900.0
1981-06-01,145415100.0
1981-07-01,145431500.0
1981-08-01,145510200.0
1981-09-01,145577500.0
1981-10-01,145780400.0
1981-11-01,146005800.0
1981-12-01,146187300.0
1982-01-01,146019200.0
1982-02-01,146083600.0
1982-03-01,146263500.0
1982-04-01,146492500.0
1982-05-01,146733900.0
1982-06-01,146952200.0
1982-07-01,147034800.0
1982-08-01,147156600.0
1982-09-01,147326400.0
1982-10-01,147556400.0
1982-11-01,147660500.0
1982-12-01,147834100.0
1983-01-01,147347400.0
1983-02-01,147468800.0
1983-03-01,147773400.0
1983-04-01,148132400.0
1983-05-01,148313200.0
1983-06-01,148192500.0
1983-07-01,148362000.0
1983-08-01,148534200.0
1983-09-01,148711500.0
1983-10-01,148862200.0
1983-11-01,148899700.0
1983-12-01,149042000.0
1984-01-01,149139200.0
1984-02-01,149272200.0
1984-03-01,149439300.0
1984-04-01,149637300.0
1984-05-01,149705000.0
1984-06-01,149826800.0
1984-07-01,149970200.0
1984-08-01,150102800.0
1984-09-01,150268800.0
1984-10-01,150350500.0
1984-11-01,150479100.0
1984-12-01,150685600.0
1985-01-01,150531900.0
1985-02-01,150676300.0
1985-03-01,150802700.0
1985-04-01,150919800.0
1985-05-01,151003400.0
1985-06-01,151258200.0
1985-07-01,151300900.0
1985-08-01,151373800.0
1985-09-01,151475200.0
1985-10-01,151617900.0
1985-11-01,151786100.0
1985-12-01,151927600.0
1986-01-01,152304000.0
1986-02-01,152436800.0
1986-03-01,152609100.0
1986-04-01,152759700.0
1986-05-01,152915800.0
1986-06-01,153045800.0
1986-07-01,153129100.0
1986-08-01,153276800.0
1986-09-01,153445300.0
1986-10-01,153574400.0
1986-11-01,153737300.0
1986-12-01,153811100.0
1987-01-01,153839400.0
1987-02-01,154053200.0
1987-03-01,154196300.0
1987-04-01,154342100.0
1987-05-01,154526200.0
1987-06-01,154669600.0
1987-07-01,154727500.0
1987-08-01,154800500.0
1987-09-01,154923400.0
1987-10-01,155026700.0
1987-11-01,155188900.0
1987-12-01,155264700.0
1988-01-01,155388800.0
1988-02-01,155511300.0
1988-03-01,155613000.0
1988-04-01,155656000.0
1988-05-01,155821600.0
1988-06-01,155989000.0
1988-07-01,156057100.0
1988-08-01,156123900.0
1988-09-01,156294400.0
1988-10-01,156404800.0
1988-11-01,156515500.0
1988-12-01,156624000.0
1989-01-01,156757000.0
1989-02-01,156821700.0
1989-03-01,156871800.0
1989-04-01,156920900.0
1989-05-01,156991600.0
1989-06-01,157012200.0
1989-07-01,157101200.0
1989-08-01,157281500.0
1989-09-01,157626600.0
1989-10-01,157660200.0
1989-11-01,157796600.0
1989-12-01,157908100.0
1990-01-01,159279900.0
1990-02-01,159391000.0
1990-03-01,159466100.0
1990-04-01,159562000.0
1990-05-01,159619100.0
1990-06-01,159720800.0
1990-07-01,159809500.0
1990-08-01,159984900.0
1990-09-01,160223700.0
1990-10-01,160262100.0
1990-11-01,160497000.0
1990-12-01,160679900.0
1991-01-01,160534900.0
1991-02-01,160713400.0
1991-03-01,160886500.0
1991-04-01,160955700.0
1991-05-01,161111100.0
1991-06-01,161172300.0
1991-07-01,161188600.0
1991-08-01,161387200.0
1991-09-01,161530100.0
1991-10-01,161638900.0
1991-11-01,161833100.0
1991-12-01,162020000.0
1992-01-01,161787900.0
1992-02-01,162011200.0
1992-03-01,162187000.0
1992-04-01,162304100.0
1992-05-01,162458500.0
1992-06-01,162371500.0
1992-07-01,162424800.0
1992-08-01,162794200.0
1992-09-01,163067400.0
1992-10-01,163263900.0
1992-11-01,163395300.0
1992-12-01,163524200.0
1993-01-01,163356700.0
1993-02-01,163534400.0
1993-03-01,163680900.0
1993-04-01,163889500.0
1993-05-01,164007500.0
1993-06-01,164004100.0
1993-07-01,164135900.0
1993-08-01,164353600.0
1993-09-01,164592000.0
1993-10-01,164785900.0
1993-11-01,164824300.0
1993-12-01,164978900.0
1994-01-01,165025800.0
1994-02-01,165223700.0
1994-03-01,165408500.0
1994-04-01,165595700.0
1994-05-01,165681100.0
1994-06-01,165818500.0
1994-07-01,165974700.0
1994-08-01,166008500.0
1994-09-01,166131400.0
1994-10-01,166231200.0
1994-11-01,166243700.0
1994-12-01,166412000.0
1995-01-01,166418200.0
1995-02-01,166551800.0
1995-03-01,166673900.0
1995-04-01,166888500.0
1995-05-01,166991900.0
1995-06-01,167068600.0
1995-07-01,167192600.0
1995-08-01,167346200.0
1995-09-01,167464000.0
1995-10-01,167608800.0
1995-11-01,167773200.0
1995-12-01,167960500.0
1996-01-01,167943500.0
1996-02-01,168087700.0
1996-03-01,168280000.0
1996-04-01,168521000.0
1996-05-01,168631100.0
1996-06-01,168761000.0
1996-07-01,168836500.0
1996-08-01,169017700.0
1996-09-01,169232700.0
1996-10-01,169379600.0
1996-11-01,169626100.0
1996-12-01,169841900.0
1997-01-01,170318500.0
1997-02-01,170448700.0
1997-03-01,170644500.0
1997-04-01,170755200.0
1997-05-01,170887100.0
1997-06-01,171077700.0
1997-07-01,171203100.0
1997-08-01,171320900.0
1997-09-01,171527600.0
1997-10-01,171670400.0
1997-11-01,171816900.0
1997-12-01,172015100.0
1998-01-01,172115100.0
1998-02-01,172290700.0
1998-03-01,172394400.0
1998-04-01,172509300.0
1998-05-01,172703700.0
1998-06-01,172928500.0
1998-07-01,173102800.0
1998-08-01,173278400.0
1998-09-01,173435900.0
1998-10-01,173551500.0
1998-11-01,173719700.0
1998-12-01,173885700.0
1999-01-01,174366400.0
1999-02-01,174527300.0
1999-03-01,174666400.0
1999-04-01,174790400.0
1999-05-01,175019000.0
1999-06-01,175244700.0
1999-07-01,175432500.0
1999-08-01,175590200.0
1999-09-01,175720200.0
1999-10-01,175950800.0
1999-11-01,176039200.0
1999-12-01,176186700.0
2000-01-01,178203900.0
2000-02-01,178284000.0
2000-03-01,178368700.0
2000-04-01,178535700.0
2000-05-01,178770800.0
2000-06-01,179073300.0
2000-07-01,179373300.0
2000-08-01,179445800.0
2000-09-01,179619100.0
2000-10-01,179813800.0
2000-11-01,179924600.0
2000-12-01,180063000.0
2001-01-01,180348100.0
2001-02-01,180506600.0
2001-03-01,180598000.0
2001-04-01,180852800.0
2001-05-01,181012800.0
2001-06-01,181358400.0
2001-07-01,181602500.0
2001-08-01,181866300.0
2001-09-01,181985900.0
2001-10-01,182251000.0
2001-11-01,182519900.0
2001-12-01,182718800.0
2002-01-01,182670300.0
2002-02-01,182823800.0
2002-03-01,183080700.0
2002-04-01,183317300.0
2002-05-01,183462800.0
2002-06-01,183672300.0
2002-07-01,183870600.0
2002-08-01,184127400.0
2002-09-01,184244200.0
2002-10-01,184456400.0
2002-11-01,184790300.0
2002-12-01,184908700.0
2003-01-01,185658500.0
2003-02-01,185828600.0
2003-03-01,186123200.0
2003-04-01,186477000.0
2003-05-01,186700000.0
2003-06-01,186893600.0
2003-07-01,187169600.0
2003-08-01,187381500.0
2003-09-01,187557800.0
2003-10-01,187715500.0
2003-11-01,187912100.0
2003-12-01,188026900.0
2004-01-01,187567600.0
2004-02-01,187831600.0
2004-03-01,188108600.0
2004-04-01,188337700.0
2004-05-01,188541200.0
2004-06-01,188690800.0
2004-07-01,188782100.0
2004-08-01,189028700.0
2004-09-01,189281000.0
2004-10-01,189471000.0
2004-11-01,189646600.0
2004-12-01,189848800.0
2005-01-01,190032600.0
2005-02-01,190207300.0
2005-03-01,190428400.0
2005-04-01,190494300.0
2005-05-01,190683400.0
2005-06-01,190897300.0
2005-07-01,191053500.0
2005-08-01,191192400.0
2005-09-01,191475400.0
2005-10-01,191700300.0
2005-11-01,191993200.0
2005-12-01,192186600.0
2006-01-01,192325200.0
2006-02-01,192512400.0
2006-03-01,192617600.0
