,Series ID,Year,Period,Label,Value,DATE,Next Month Value,CPIAUCSL,CUUR0000SEHA,EXPGS,IMPGS,FEDFUNDS,GDI,GDP,LFWA64TTUSM647S,GASREGW,DSPI,SP500,LFP,EPR,EL,ClF,AWU,INDPRO,BOGZ1FA895050005Q,HLTHSCPCHCSA,UEL
0,LNS14000000,1948,M01,1948 Jan,3.4,1948-01-01,3.8,23.68,27.000,16.917,9.624,,265.07,265.742,,,,,58.6,56.6,58061.0,60095.0,8.9,14.3274,.,,2034.0
1,LNS14000000,1948,M02,1948 Feb,3.8,1948-02-01,4.0,23.67,27.100,,,,,,,,,,58.9,56.7,58196.0,60524.0,8.4,14.3543,,,2328.0
2,LNS14000000,1948,M03,1948 Mar,4.0,1948-03-01,3.9,23.5,27.100,,,,,,,,,,58.5,56.1,57671.0,60070.0,8.7,14.1931,,,2399.0
3,LNS14000000,1948,M04,1948 Apr,3.9,1948-04-01,3.5,23.82,27.200,15.241,10.036,,273.654,272.567,,,,,59.0,56.7,58291.0,60677.0,8.5,14.2199,.,,2386.0
4,LNS14000000,1948,M05,1948 May,3.5,1948-05-01,3.6,24.01,27.300,,,,,,,,,,58.3,56.2,57854.0,59972.0,9.1,14.4618,,,2118.0
5,LNS14000000,1948,M06,1948 Jun,3.6,1948-06-01,3.6,24.15,27.400,,,,,,,,,,59.2,57.0,58743.0,60957.0,8.8,14.65,,,2214.0
6,LNS14000000,1948,M07,1948 Jul,3.6,1948-07-01,3.9,24.4,27.500,15.405,10.456,,278.941,279.196,,,,,59.3,57.1,58968.0,61181.0,8.6,14.65,.,,2213.0
7,LNS14000000,1948,M08,1948 Aug,3.9,1948-08-01,3.8,24.43,27.600,,,,,,,,,,58.9,56.6,58456.0,60806.0,8.8,14.5962,,,2350.0
8,LNS14000000,1948,M09,1948 Sep,3.8,1948-09-01,3.7,24.36,27.800,,,,,,,,,,58.9,56.6,58513.0,60815.0,8.5,14.4887,,,2302.0
9,LNS14000000,1948,M10,1948 Oct,3.7,1948-10-01,3.8,24.31,27.900,14.625,10.124,,281.223,280.366,,,,,58.7,56.5,58387.0,60646.0,9.5,14.5963,81774.0,,2259.0
10,LNS14000000,1948,M11,1948 Nov,3.8,1948-11-01,4.0,24.16,28.000,,,,,,,,,,58.7,56.5,58417.0,60702.0,7.8,14.4081,,,2285.0
11,LNS14000000,1948,M12,1948 Dec,4.0,1948-12-01,4.3,24.05,28.100,,,,,,,,,,59.1,56.8,58740.0,61169.0,8.1,14.2737,,,2429.0
